station,x_m,y_m,z_m
5,1.3912,-0.1184,-0.2848
5,1.3912,-0.1082,-0.2900
5,1.3912,-0.0979,-0.2947
5,1.3912,-0.0874,-0.2990
5,1.3912,-0.0768,-0.3027
5,1.3912,-0.0661,-0.3060
5,1.3912,-0.0552,-0.3088
5,1.3912,-0.0443,-0.3111
5,1.3912,-0.0333,-0.3129
5,1.3912,-0.0222,-0.3142
5,1.3912,-0.0111,-0.3150
5,1.3912,-0.0000,-0.3153
5,1.3912,0.0111,-0.3150
5,1.3912,0.0222,-0.3142
5,1.3912,0.0333,-0.3129
5,1.3912,0.0443,-0.3111
5,1.3912,0.0552,-0.3088
5,1.3912,0.0661,-0.3060
5,1.3912,0.0768,-0.3027
5,1.3912,0.0874,-0.2990
5,1.3912,0.0979,-0.2947
5,1.3912,0.1082,-0.2900
5,1.3912,0.1184,-0.2848
5,1.3912,0.1283,-0.2791
5,1.3912,0.1381,-0.2730
5,1.3912,0.1476,-0.2664
5,1.3912,0.1569,-0.2595
5,1.3912,0.1659,-0.2521
5,1.3912,0.1747,-0.2443
5,1.3912,0.1832,-0.2361
5,1.3912,0.1914,-0.2275
5,1.3912,0.1992,-0.2185
5,1.3912,0.2067,-0.2091
5,1.3912,0.2139,-0.1995
5,1.3912,0.2207,-0.1895
5,1.3912,0.2272,-0.1791
5,1.3912,0.2333,-0.1685
5,1.3912,0.2390,-0.1577
5,1.3912,0.2444,-0.1465
5,1.3912,0.2493,-0.1352
5,1.3912,0.2539,-0.1236
5,1.3912,0.2580,-0.1118
5,1.3912,0.2617,-0.0998
5,1.3912,0.2650,-0.0877
5,1.3912,0.2679,-0.0754
5,1.3912,0.2703,-0.0631
5,1.3912,0.2723,-0.0506
5,1.3912,0.2739,-0.0380
5,1.3912,0.2750,-0.0254
5,1.3912,0.2757,-0.0127
5,1.3912,0.2759,-0.0000
5,1.3912,0.2837,0.0648
5,1.3912,0.2915,0.1296
5,1.3912,0.2994,0.1944
5,1.3912,0.3072,0.2591
5,1.3912,0.3150,0.3239
5,1.3912,0.3228,0.3887
5,1.3912,0.3306,0.4535
5,1.3912,0.3384,0.5183
5,1.3912,0.3462,0.5831
5,1.3912,0.3540,0.6479
5,1.3912,0.3618,0.7126
5,1.3912,0.3696,0.7774
6,1.9580,-0.5114,0.7772
6,1.9580,-0.5038,0.7125
6,1.9580,-0.4961,0.6477
6,1.9580,-0.4885,0.5829
6,1.9580,-0.4808,0.5182
6,1.9580,-0.4731,0.4534
6,1.9580,-0.4655,0.3886
6,1.9580,-0.4578,0.3239
6,1.9580,-0.4501,0.2591
6,1.9580,-0.4425,0.1943
6,1.9580,-0.4348,0.1295
6,1.9580,-0.4271,0.0648
6,1.9580,-0.4195,-0.0000
6,1.9580,-0.4191,-0.0144
6,1.9580,-0.4181,-0.0288
6,1.9580,-0.4164,-0.0431
6,1.9580,-0.4140,-0.0574
6,1.9580,-0.4109,-0.0715
6,1.9580,-0.4072,-0.0856
6,1.9580,-0.4029,-0.0995
6,1.9580,-0.3979,-0.1132
6,1.9580,-0.3922,-0.1268
6,1.9580,-0.3859,-0.1402
6,1.9580,-0.3790,-0.1533
6,1.9580,-0.3715,-0.1662
6,1.9580,-0.3634,-0.1788
6,1.9580,-0.3547,-0.1912
6,1.9580,-0.3454,-0.2032
6,1.9580,-0.3356,-0.2149
6,1.9580,-0.3253,-0.2263
6,1.9580,-0.3144,-0.2372
6,1.9580,-0.3030,-0.2479
6,1.9580,-0.2911,-0.2580
6,1.9580,-0.2786,-0.2678
6,1.9580,-0.2657,-0.2771
6,1.9580,-0.2523,-0.2859
6,1.9580,-0.2386,-0.2943
6,1.9580,-0.2245,-0.3022
6,1.9580,-0.2100,-0.3097
6,1.9580,-0.1951,-0.3166
6,1.9580,-0.1800,-0.3230
6,1.9580,-0.1646,-0.3289
6,1.9580,-0.1489,-0.3343
6,1.9580,-0.1329,-0.3391
6,1.9580,-0.1168,-0.3434
6,1.9580,-0.1005,-0.3472
6,1.9580,-0.0840,-0.3503
6,1.9580,-0.0673,-0.3529
6,1.9580,-0.0506,-0.3550
6,1.9580,-0.0338,-0.3565
6,1.9580,-0.0169,-0.3574
6,1.9580,-0.0000,-0.3577
6,1.9580,0.0169,-0.3574
6,1.9580,0.0338,-0.3565
6,1.9580,0.0506,-0.3550
6,1.9580,0.0673,-0.3529
6,1.9580,0.0840,-0.3503
6,1.9580,0.1005,-0.3472
6,1.9580,0.1168,-0.3434
6,1.9580,0.1329,-0.3391
